"Mapping","Protein.IDs"
"Fcgbp;Fcgbpl1","D3ZJF8;F7EZQ4"
"Fcna;Fcn1","Q9WTS8;Q5M8B4"
"Fetub","Q6IRS6;Q9QX79"
"Fga","Q7TQ70;P06399"
"Fgb","P14480"
"Fgg","P02680"
"Fgl1","Q5M8C6;Q8K583;A0A0G2KA83"
"Fgl2","G3V7P2"
"Flt4","Q91ZT1;G3V6B7"
"Fn1 (F1LST1)","F1LST1"
"Fn1 (P04937;A0A096P6L8)","P04937;A0A096P6L8"
"Fstl1","Q62632;F8WG88"
"Fstl4","D3ZJ81"
"Ganab","D3ZAN3"
"Gapdh;Gapdhs;LOC108351137","D3ZWV2;E9PTN6;P04797;Q9ESV6;F1M8P6;A0A0G2K8S2;M0R660;F1LUV3;D3ZGY4;D3ZME3;D3ZQT0;B1WBQ8;M0R590;E9PTV9"
"Gc","P04276;Q68FY4"
"Gcn1","F1LRI5"
"Gda","Q9JKB7;Q9WTT6"
"Ghr (I1SRC4;P16310;A0A0H2UHM8)","I1SRC4;P16310;A0A0H2UHM8"
"Glo1","Q6P7Q4"
"Golm1","D4AEL2"
"Got1","P13221"
"Gp1ba","D3ZQU7"
"Gpatch4","Q566R3"
"Gpi","Q6P6V0"
"Gpld1","G3V8B1;Q8R2H5"
"Gpx1","M0RAM5;P04041"
"Gpx3","A0A0G2K531;P23764"
"Gsta4","P14942"
"Gstm1","G3V983;P04905"
"Gstm4;Gstm2;Gstm7;Gstm5;Gstm6;Gstm6l","B0BN47;Q5BK56;F1LXL7;A0A0G2K6L4;A0A0G2JZ09;A0A0G2K4U2;D3ZVQ8;P08010;P08009;Q9Z1B2"
"H4c2; Hist1h4m; H4f16","P62804"
"Habp2","Q6L711;A2VD04;F1M8H8"
"Hagh","O35952;F1LQI1"
"Hba-a2;Hbz","A0A0G2JSV6;G3V8R3"
"Hba-a3","Q63910"
"Hba1","P01946"
"Hbb","A0A0G2JSW3"
"Hbg1;Hbe2","O88754;O88753"
"Hbq1b","D4A021"
"Heph;Hephl1;Cp","A0A0G2K8Q3;G3V7K3;A0A0G2K9I6;Q920H8;P13635"
"Hgfac","Q5EBA7"
"Hp","P06866;A0A0H2UHM3"
"Hpx","P20059"
"Hrg","A0A0G2K9Y5;A0A0G2K3G0;Q99PS8"
"Hspa1a;LOC680121;Hspa1b;Hspa2;Hspa8;Hspa1l","M0RCB1;A0A0G2JVI3;D4A4S3;A0A0G2JUT0;F1LZI1;P55063;M0R8M9;P63018;P14659;P0DMW0;P0DMW1"
"Hspa5","P06761"
"Hyal1","Q76HN1;F1M963"
"Icoslg","F1LVL2"
"Ifi27","G3V761"
"Igf1","P08025;A0A0G2JX40;F8WFZ5"
"Igfals","F1LRE2;P35859"
"Igfbp3","P15473;A0A0G2K4Q9"
"Igfbp4","P21744"
"Igfbp5","P24594;A0A0G2JVW1"
"Igg-2a","P20760"
"Igh-1a","P20761"
"Ighm (F1LM30;A0A0G2JVP4;F1LPW0)","F1LM30;A0A0G2JVP4;F1LPW0"
"Ighm (F1LPR6)","F1LPR6"
"Il1rap","D1M8S3;Q63621;F1M9B9"
"Itga4","D3ZMQ3"
"Itgal","F1LP44"
"Itgb1","P49134;A0A0G2JSK5"
"Itih1","B2RYM3"
"Itih2","D3ZFH5"
"Itih3","D3ZBS2;Q63416"
"Itih4","D3ZFC6;Q5EBC0"
"Jchain","G3V6G1"
"Jup","Q6P0K8"
"Kif3a","A0A0G2JUD6;F1LQZ3"
"Klkb1;Gzmb","P14272;P18291;Q5FVS2"
"Kng1 (P08932;A0A0G2JVQ5;F7EUK4;A0A0G2KAY3;A0A0G2KA54)","P08932;A0A0G2JVQ5;F7EUK4;A0A0G2KAY3;A0A0G2KA54"
"Kng1 (P08934)","P08934"
"Kprp","Q7TQM5;G3V9A5"
"Lamc3","A0A0G2K023"
"Lamp1","P14562"
"Lamp2","P17046"
"Lbp","Q3MID7;Q63313"
"Lcat","P18424"
"Ldha;Ldhb;Ldhc","P04642;P42123;H9N9H4;Q6AYX2;P19629"
"Lgals5;Lgals9","G3V7N2;P47967;P97840;G3V7N8;A0A1W2Q6D2;Q6P7Q6"
"Lin28b","D3ZIK1;D4A0Q1"
"Lipc","Q5M895;A0A0G2JY79;A0A0G2K6S7;P07867"
"Lipo1","D3ZUQ1"
"LOC100360846;Psmb6","P28073;A0A0G2JSL0"
